NLR clade,gene_short_na
CNL-ND-3,Solyc10g008230
CNL-ND-3,Solyc10g008240
CNL-ND-4,Cc11g06550
CNL-ND-4,Solyc07g005770
CNL-ND-5,Cc00g29470
CNL-ND-5,Cc03g04520
CNL-ND-5,Cc03g04680
CNL-ND-5,Cc03g04710
CNL-ND-5,Cc03g04730
CNL-ND-5,Cc03g05830
CNL-ND-5,Cc03g05850
CNL-ND-5,Cc03g06090
CNL-ND-5,Cc03g06190
CNL-ND-5,Cc03g06200
CNL-ND-5,Cc03g06210
CNL-ND-5,Cc03g06330
CNL-ND-5,Cc03g07200
CNL-ND-5,Cc06g16160
CNL-ND-5,Cc06g16170
CNL-ND-5,Cc06g16180
CNL-ND-5,Cc06g16200
CNL-ND-5,Cc06g23160
CNL-ND-5,Cc11g01970
CNL-ND-5,Cc11g02000
CNL-ND-5,Cc11g02040
CNL-ND-5,Cc11g02050
CNL-ND-5,Cc11g02060
CNL-ND-5,Cc11g02900
CNL-ND-5,Cc11g02920
CNL-ND-5,Solyc12g096920
CNL-ND-6,Solyc12g094660
CNL-ND-7,Solyc03g005650
CNL-ND-7,Solyc03g005670
CNL-ND-8,Cc00g03300
CNL-ND-8,Cc00g09320
CNL-ND-8,Cc00g09410
CNL-ND-8,Cc00g21720
CNL-ND-8,Cc00g31640
CNL-ND-8,Cc01g04980
CNL-ND-8,Cc02g28600
CNL-ND-8,Cc02g28660
CNL-ND-8,Cc02g28720
CNL-ND-8,Cc02g28730
CNL-ND-8,Cc02g28750
CNL-ND-8,Cc07g03110
CNL-ND-8,Solyc03g006750
CNL-ND-8,Solyc03g006760
CNL-ND-9,Cc02g36190
CNL-ND-9,Cc02g36200
CNL-ND-9,Cc02g36250
CNL-ND-9,Cc02g36310
CNL-ND-9,Solyc02g073574
CNL-ND-9,Solyc02g084450
CNL-ND-AtZAR1,AtZAR1
CNL-ND-AtZAR1,Cc05g05530
CNL-ND-AtZAR1,Cc05g05540
CNL-ND-AtZAR1,Cc05g05550
CNL-ND-AtZAR1,Cc07g09980
CNL-ND-AtZAR1,Solyc02g084890
CNL-ND-AtZAR1,Solyc07g053010
CNL-ND-AtZAR1,Solyc07g053020
NLR-Coffea-ND-1,Cc03g13980
NLR-Coffea-ND-10,Cc10g10090
NLR-Coffea-ND-11,Cc03g10130
NLR-Coffea-ND-11,Cc11g08970
NLR-Coffea-ND-11,Cc11g08980
NLR-Coffea-ND-11,Cc11g09420
NLR-Coffea-ND-11,Cc11g09430
NLR-Coffea-ND-11,Cc11g09440
NLR-Coffea-ND-11,Cc11g09460
NLR-Coffea-ND-12,Cc03g05750
NLR-Coffea-ND-13,Cc04g04080
NLR-Coffea-ND-14,Cc03g06570
NLR-Coffea-ND-15,Solyc02g070410
NLR-Coffea-ND-16,Cc07g18130
NLR-Coffea-ND-16,Cc11g05390
NLR-Coffea-ND-16,Cc11g05970
NLR-Coffea-ND-16,Cc11g06120
NLR-Coffea-ND-16,Cc11g06190
NLR-Coffea-ND-17,Cc00g16300
NLR-Coffea-ND-18,Cc00g11920
NLR-Coffea-ND-18,Cc00g12520
NLR-Coffea-ND-18,Cc00g15830
NLR-Coffea-ND-18,Cc11g02470
NLR-Coffea-ND-18,Cc11g02490
NLR-Coffea-ND-18,Cc11g02520
NLR-Coffea-ND-18,Cc11g04890
NLR-Coffea-ND-19,Cc11g01160
NLR-Coffea-ND-19,Cc11g04080
NLR-Coffea-ND-19,Cc11g04090
NLR-Coffea-ND-19,Cc11g04120
NLR-Coffea-ND-19,Cc11g04150
NLR-Coffea-ND-19,Cc11g05370
NLR-Coffea-ND-20,Cc03g08520
NLR-Coffea-ND-20,Cc11g03790
NLR-Coffea-ND-21,Cc08g01430
NLR-Coffea-ND-21,Cc11g00890
NLR-Coffea-ND-21,Cc11g00960
NLR-Coffea-ND-22,Cc00g03020
NLR-Coffea-ND-22,Cc00g09620
NLR-Coffea-ND-22,Cc00g09630
NLR-Coffea-ND-22,Cc00g26340
NLR-Coffea-ND-22,Cc00g30540
NLR-Coffea-ND-22,Cc01g01140
NLR-Coffea-ND-22,Cc03g08230
NLR-Coffea-ND-22,Cc03g08260
NLR-Coffea-ND-22,Cc03g08270
NLR-Coffea-ND-22,Cc03g08290
NLR-Coffea-ND-22,Cc03g14610
NLR-Coffea-ND-22,Cc03g14620
NLR-Coffea-ND-22,Cc03g14630
NLR-Coffea-ND-22,Cc03g14650
NLR-Coffea-ND-22,Cc03g14660
NLR-Coffea-ND-22,Cc03g14790
NLR-Coffea-ND-22,Cc03g14800
NLR-Coffea-ND-23,Cc01g07510
NLR-Coffea-ND-24,Cc10g13320
NLR-Coffea-ND-25,Cc03g09200
NLR-Coffea-ND-25,Cc09g06310
NLR-Coffea-ND-25,Cc11g00940
NLR-Coffea-ND-25,Cc11g00950
NLR-Coffea-ND-25,Cc11g02960
NLR-Coffea-ND-25,Cc11g07560
NLR-Coffea-ND-26,Cc00g00700
NLR-Coffea-ND-26,Cc00g16020
NLR-Coffea-ND-26,Cc06g22210
NLR-Coffea-ND-26,Cc11g06320
NLR-Coffea-ND-26,Cc11g06360
NLR-Coffea-ND-26,Cc11g06910
NLR-Coffea-ND-26,Cc11g06920
NLR-Coffea-ND-26,Cc11g08750
NLR-Coffea-ND-26,Cc11g08760
NLR-Coffea-ND-27,Cc05g04430
